Operational Recommendation,Temperature Recommendation,Humidity Recommendation,Battery Recommendation,Shipment Recommendation,Financial Recommendation,Quality Recommendation,Manager Recommendation,Priority Action,Recommendation Severity,Recommendation Category,Immediate Action Required,Recommendation Status,Escalation Level,Final Recommendation,Shipment ID,Container ID,Timestamp,Date,Time,Product Category,Product Name,Vehicle Type,Origin City,Destination City,Transport Mode,Latitude,Longitude,Temperature,Humidity,Battery,Shock,Vibration,Delay Hours,Sensor Status,Weather,Driver ID,Route ID,Trip Distance,Trip Duration,Fuel Consumption,Temperature Deviation,Temperature Excursion Flag,Temperature Band,Humidity Deviation,Humidity Excursion Flag,Humidity Band,Battery Health Score,Battery Status,Battery Low Flag,Shock Severity,High Shock Flag,Delay Category,Delay Flag,Journey Duration Category,Average Speed,Fuel Efficiency,Trip Efficiency,Distance Category,Vibration Severity,High Vibration Flag,Operational Status,Sensor Health Score,Weather Impact Indicator,Temperature Excursion Duration Risk,Cold Chain Compliance Flag,Spoilage Probability Indicator,Risk Indicator,Risk Category,Operational Risk Indicator,Temperature Risk Score,Humidity Risk Score,Battery Risk Score,Shock Risk Score,Vibration Risk Score,Delay Risk Score,Overall Risk Index,Risk Score,Risk Priority,Risk Level,Risk Description,Spoilage Risk,Quality Risk,Logistics Risk,Operational Risk,Financial Risk Indicator,Spoilage Risk Indicator,Estimated Quantity,Product Unit Value,Inventory Value,Spoilage Percentage,Spoiled Quantity,Estimated Loss,Financial Loss,Estimated Loss Percentage,Insurance Eligible,Insurance Claim Amount,Recovery Eligible,Recovery Amount,Net Financial Loss,Loss Category,Loss Severity,Business Impact,Profit Impact,Cost Impact,Recovery Status,Insurance Status
Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Initiate immediate quarantine of the affected shipment.,high,Critical,True,Open,L2,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,SHP-C79647D7A046,CTR-9BC75FAFB6,2026-07-14 12:42:06,2026-07-14,12:42:06,Fresh Fruits,Grapes,Mini Reefer Truck,Kolkata,Durgapur,Road,23.117051,87.665257,3.88,36.97,64.54,99.59,6.661,4.0,Warning,Rain,DRV-F9BADECE,RTE-2A901860,808.52,39.29,94.8,3.88,0,Safe,13.03,0,Safe,40.89999999931835,Healthy,0,1,0,Safe,0,Medium,20.57826418883741,8.528691983032397,High,Short,1,0,Active,40.89999999931835,1,0.0,1,0.8674451894240943,86.74,High Risk,0,65.92,64.34,59.1,33.33,50.0,14.81,50.43,50.43,P2,High,Significant deviation from target conditions; prioritize quality checks and interventions.,High Risk,High Risk,Medium Risk,Medium Risk,0.22,0.14,346.982,35.0,12144.37,0.14,48.57748000000001,48.57748000000001,2671.7614000000003,0.22,True,2671.76139999978,True,2671.76139999978,0.0,Low,low,Medium,Minor,Low,Eligible,Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-6A4A4048C45C,CTR-AB9CF3285C,2026-06-20 09:44:06,2026-06-20,09:44:06,Fresh Vegetables,Lettuce,Refrigerated Truck,Coimbatore,Varanasi,Road,17.884737,79.204709,1.83,45.66,62.27,3.54,8.71,1.75,Active,Fog,DRV-B2FB7F4F,RTE-CF2D1DA5,642.03,36.05,118.8,1.83,0,Safe,4.340000000000003,0,Safe,37.11666666604806,Healthy,0,0,0,Safe,0,Medium,17.809431344859657,5.404292929247438,Medium,Short,1,0,Active,37.11666666604806,0,0.0,1,0.6862211761711984,68.62,Medium Risk,0,31.09,21.43,62.88,0.0,50.0,6.48,27.46,27.46,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,Low Risk,Low Risk,Medium Risk,0.1,0.06,278.442,26.0,7239.492,0.06,16.70652,16.70652,723.9492,0.1,False,0.0,True,723.9491999999,1.0004441719502208e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Replace or recharge the sensor battery immediately.; Verify the sensor reconnects successfully.; Monitor the shipment until battery health is restored.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Replace or recharge the sensor battery immediately.; Verify the sensor reconnects successfully.; Monitor the shipment until battery health is restored.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Replace or recharge the sensor battery immediately.,medium,Battery Low,False,Open,L1,Replace or recharge the sensor battery immediately.; Verify the sensor reconnects successfully.; Monitor the shipment until battery health is restored.,SHP-7EF9FD084514,CTR-F04916C9E3,2026-07-12 14:14:06,2026-07-12,14:14:06,Dairy Products,Paneer,Cold Storage Container,Indore,Durgapur,Road,23.042189,82.217838,1.07,42.13,13.32,166.34,1.971,3.93,Inactive,Cloudy,DRV-3CC182BF,RTE-31F027E6,927.13,19.13,200.47,1.07,0,Safe,7.869999999999997,0,Safe,28.042105261682,Critical,1,1,0,Safe,0,Short,48.46471510462809,4.624781762834216,Low,Short,0,0,Inactive,3.0421052616819964,0,0.0,0,0.8220229086792411,82.2,Medium Risk,1,18.18,38.86,71.96,33.33,0.0,14.55,30.29,30.29,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,Medium Risk,Low Risk,Medium Risk,0.1,0.06,382.33,180.0,68819.40000000001,0.06,22.9398,22.9398,6881.940000000001,0.1,False,0.0,True,6881.939999999901,1.0004441719502208e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Inspect humidity control systems.; Check packaging for moisture damage.; Perform a quality inspection before shipment release.,Replace or recharge the sensor battery immediately.; Verify the sensor reconnects successfully.; Monitor the shipment until battery health is restored.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-CE4EF326A37D,CTR-2570BD3B36,2026-05-26 01:56:06,2026-05-26,01:56:06,Fresh Vegetables,Carrot,Refrigerated Truck,Ranchi,Varanasi,Air,24.964122,84.753828,-0.37,31.85,40.21,59.93,1.058,2.35,Active,Clear,DRV-AC6CB04C,RTE-5D593924,1452.67,6.97,250.33,0.37,0,Safe,18.15,0,Safe,0.3499999999941681,Healthy,0,0,0,Safe,0,Short,208.4175035568985,5.80302001355889,Medium,Medium,0,0,Active,0.3499999999941681,0,0.0,1,0.7675182143110874,76.75,Medium Risk,0,6.29,89.62,99.65,0.0,0.0,8.7,35.75,35.75,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,Medium Risk,Low Risk,Medium Risk,0.1,0.06,585.2500000000001,14.0,8193.500000000002,0.06,35.115,35.115,819.3500000000003,0.1,False,0.0,True,819.3499999999002,1.0004441719502208e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Inspect humidity control systems.; Check packaging for moisture damage.; Perform a quality inspection before shipment release.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.,medium,Shipment Delay,False,Open,L1,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,SHP-14C30F2B1B96,CTR-2692FBC7F5,2026-05-25 13:54:06,2026-05-25,13:54:06,Meat,Chicken,Refrigerated Van,Varanasi,Hyderabad,Road,20.695587,80.44882,3.49,82.56,72.29,38.84,1.685,10.67,Warning,Cold Wave,DRV-03C870EA,RTE-2B814906,1107.02,17.56,154.81,3.49,0,Safe,32.56,1,Critical,53.81666666576975,Healthy,0,0,0,Warning,1,Short,63.04214122647824,7.150830049692198,High,Medium,0,0,Active,53.81666666576975,0,0.0,0,0.9627006417802482,96.27,Low Risk,2,59.29,100.0,46.18,0.0,0.0,54.51,49.93,49.93,P4,Low,Conditions are generally within acceptable cold-chain boundaries.,Critical Risk,High Risk,Medium Risk,Low Risk,0.03,0.02,453.344,260.0,117869.44,0.02,9.06688,9.06688,3536.0832,0.03,False,0.0,False,0.0,3536.0832,Low,low,Low,Major,Low,Not Eligible,Not Eligible
Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Inspect humidity control systems.; Check packaging for moisture damage.; Perform a quality inspection before shipment release.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.,medium,Shipment Delay,False,Open,L1,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,SHP-06006F3AF3AD,CTR-4461306752,2026-07-08 23:42:06,2026-07-08,23:42:06,Frozen Foods,Frozen Pizza,Cold Storage Container,Noida,Mumbai,Air,24.043472,75.472702,-1.1,67.52,98.43,92.61,1.645,13.99,Warning,Storm,DRV-35BB79D5,RTE-BF458CB0,1404.62,5.18,319.21,1.1,0,Safe,17.519999999999996,0,Safe,97.3833333317103,Healthy,0,1,0,Critical,1,Short,271.16216210981423,4.400300742444158,Low,Medium,0,0,Active,97.3833333317103,0,0.0,1,0.8921128598790082,89.21,Medium Risk,1,18.69,86.51,2.62,33.33,0.0,66.8,37.39,37.39,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,Medium Risk,Medium Risk,Low Risk,0.1,0.06,564.9559999999999,240.0,135589.43999999997,0.06,33.89735999999999,33.89735999999999,13558.943999999998,0.1,False,0.0,True,13558.943999999898,1.0004441719502208e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.,medium,Shipment Delay,False,Open,L1,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,SHP-9B901EE16CB8,CTR-7CDC38C70E,2026-05-26 09:14:06,2026-05-26,09:14:06,Chocolate,Chocolate,Reefer Trailer,Indore,Noida,Sea,25.08994,76.99757,2.72,52.73,71.96,279.12,1.949,6.03,Warning,Fog,DRV-A4CBEA3D,RTE-AB2FE530,2440.02,71.56,490.43,2.72,0,Safe,2.729999999999997,0,Safe,53.266666665778885,Healthy,0,3,1,Warning,1,Long,34.09754052495671,4.97526660276701,Low,Long,0,0,Shock Alert,33.266666665778885,0,0.0,1,0.8695676252293771,86.96,Medium Risk,2,46.21,13.48,46.73,100.0,0.0,37.33,41.86,41.86,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,Medium Risk,Medium Risk,High Risk,0.1,0.06,1018.944,85.0,86610.24,0.06,61.13664,61.13664,8661.024000000001,0.1,False,0.0,True,8661.023999999901,1.0004441719502208e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.,medium,Shipment Delay,False,Open,L1,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,SHP-3D8E54720BDA,CTR-1146A4E770,2026-05-23 02:21:06,2026-05-23,02:21:06,Fresh Vegetables,Lettuce,Mini Reefer Truck,Delhi,Durgapur,Road,25.409356,82.588863,-1.55,47.78,66.66,105.69,3.003,5.78,Warning,Storm,DRV-DBCCA098,RTE-8822032C,1299.02,42.62,164.72,1.55,0,Safe,2.219999999999999,0,Safe,44.43333333259277,Healthy,0,1,0,Warning,1,Medium,30.47911778436229,7.886231180136679,High,Medium,0,0,Active,44.43333333259277,0,0.0,1,0.7054066644025708,70.54,Medium Risk,1,26.33,10.96,55.57,33.33,0.0,36.4,27.57,27.57,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Low Risk,Low Risk,Medium Risk,Medium Risk,0.1,0.06,545.1800000000001,26.0,14174.680000000002,0.06,32.710800000000006,32.710800000000006,1417.4680000000003,0.1,False,0.0,True,1417.4679999999005,1.0004441719502208e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.,low,Normal,False,Open,L1,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,SHP-693136B568D0,CTR-2C120A73A7,2026-06-13 05:25:06,2026-06-13,05:25:06,Fresh Vegetables,Carrot,Refrigerated Van,Hyderabad,Patna,Air,21.704066,81.14864,-0.14,52.23,70.05,196.82,2.98,2.45,Active,Rain,DRV-400CAFB9,RTE-EB0CF8D7,1397.44,12.4,220.99,0.14,0,Safe,2.229999999999997,0,Safe,50.08333333249861,Healthy,0,2,0,Safe,0,Short,112.69677418445994,6.323544051738434,High,Medium,0,0,Active,50.08333333249861,1,0.0,1,0.5777403975796749,57.77,Low Risk,0,2.38,11.01,49.92,66.67,0.0,9.07,21.65,21.65,P4,Low,Conditions are generally within acceptable cold-chain boundaries.,Low Risk,Low Risk,Low Risk,Medium Risk,0.03,0.02,566.416,14.0,7929.824,0.02,11.32832,11.32832,237.89472,0.03,False,0.0,False,0.0,237.89472,Low,low,Low,Major,Low,Not Eligible,Not Eligible
Inspect refrigeration equipment immediately.; Move products to a safe temperature-controlled environment.; Record the temperature excursion for compliance.,Inspect refrigeration equipment immediately.; Move products to a safe temperature-controlled environment.; Record the temperature excursion for compliance.,Inspect humidity control systems.; Check packaging for moisture damage.; Perform a quality inspection before shipment release.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Inspect refrigeration equipment immediately.,high,Temperature Issue,True,Open,L2,Inspect refrigeration equipment immediately.; Move products to a safe temperature-controlled environment.; Record the temperature excursion for compliance.,SHP-723A9C32C0D3,CTR-AED65B30CF,2026-07-14 11:18:06,2026-07-14,11:18:06,Frozen Foods,Frozen Pizza,Reefer Trailer,Bhopal,Ahmedabad,Sea,23.472847,75.354998,-6.5,70.43,72.95,304.48,4.927,3.63,Critical,Heatwave,DRV-1CD28631,RTE-E4FCCD36,2111.48,80.59,440.06,6.5,1,Warning,20.430000000000007,1,Warning,54.9166666657514,Healthy,0,3,1,Safe,0,Long,26.20027298639781,4.798163886731814,Low,Long,0,0,Shock Alert,34.9166666657514,1,33.33333333333333,0,0.9725940535577532,97.26,High Risk,3,100.0,100.0,45.08,100.0,0.0,13.44,68.78,68.78,P2,High,Significant deviation from target conditions; prioritize quality checks and interventions.,Critical Risk,Critical Risk,Low Risk,High Risk,0.22,0.14,892.9460000000001,240.0,214307.04000000004,0.14,125.01244000000004,125.01244000000004,47147.54880000001,0.22,True,47147.54879999979,True,47147.54879999979,0.0,Low,low,Medium,Minor,High,Eligible,Eligible
Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.,low,Normal,False,Open,L1,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,SHP-544A8C19CCD3,CTR-E86B5637CF,2026-06-30 08:14:06,2026-06-30,08:14:06,Fresh Fruits,Apple,Refrigerated Truck,Patna,Srinagar,Sea,30.599206,80.146766,1.09,54.48,75.01,30.06,2.412,1.74,Active,Fog,DRV-4188D043,RTE-D3A285DC,1866.95,63.76,351.98,1.09,0,Safe,4.479999999999997,0,Safe,58.34999999902751,Healthy,0,0,0,Safe,0,Long,29.280897113718936,5.30413659865531,Medium,Long,0,0,Active,58.34999999902751,0,33.33333333333333,1,0.6483219055471032,64.83,Low Risk,0,18.52,22.12,41.65,0.0,0.0,6.44,16.27,16.27,P4,Low,Conditions are generally within acceptable cold-chain boundaries.,Low Risk,Low Risk,Low Risk,Low Risk,0.03,0.02,785.0360000000001,18.0,14130.648,0.02,15.700720000000002,15.700720000000002,423.91944,0.03,False,0.0,False,0.0,423.91944,Low,low,Low,Major,Low,Not Eligible,Not Eligible
Inspect refrigeration equipment immediately.; Move products to a safe temperature-controlled environment.; Record the temperature excursion for compliance.,Inspect refrigeration equipment immediately.; Move products to a safe temperature-controlled environment.; Record the temperature excursion for compliance.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Inspect refrigeration equipment immediately.,high,Temperature Issue,True,Open,L2,Inspect refrigeration equipment immediately.; Move products to a safe temperature-controlled environment.; Record the temperature excursion for compliance.,SHP-76FBB8C634CC,CTR-4CA1839836,2026-05-25 22:15:06,2026-05-25,22:15:06,Seafood,Salmon,Refrigerated Van,Srinagar,Jaipur,Road,29.953889,75.372853,11.12,53.82,93.88,89.99,2.584,0.92,Warning,Clear,DRV-5C9C32E9,RTE-4ADD33FA,963.92,48.26,157.93,11.12,1,Critical,3.82,0,Safe,89.79999999850334,Healthy,0,1,0,Safe,0,Medium,19.97347699917171,6.10346355976633,Medium,Short,0,0,Active,89.79999999850334,0,66.66666666666666,0,0.94922559838314,94.92,Medium Risk,1,100.0,18.86,10.2,33.33,0.0,3.41,35.81,35.81,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,High Risk,High Risk,Low Risk,Low Risk,0.1,0.06,414.524,450.0,186535.8,0.06,24.87144,24.87144,18653.58,0.1,False,0.0,True,18653.5799999999,9.822542779147624e-11,Low,low,Low,Minor,High,Eligible,Not Eligible
Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.,low,Normal,False,Open,L1,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,SHP-BF073686BC45,CTR-FD11887F1C,2026-07-09 05:00:06,2026-07-09,05:00:06,Dairy Products,Milk,Reefer Trailer,Gurugram,Delhi,Rail,27.80695,76.591216,0.46,48.59,60.28,44.92,4.14,2.23,Active,Clear,DRV-6A480AF5,RTE-444421D7,549.51,61.74,120.75,0.46,0,Safe,1.4099999999999966,0,Safe,33.79999999943667,Healthy,0,0,0,Safe,0,Long,8.90038872677518,4.550807453378461,Low,Short,0,0,Active,33.79999999943667,0,33.33333333333333,1,0.5824209334215728,58.24,Low Risk,0,7.82,6.96,66.2,0.0,0.0,8.26,14.52,14.52,P4,Low,Conditions are generally within acceptable cold-chain boundaries.,Low Risk,Low Risk,Low Risk,Medium Risk,0.03,0.02,256.848,12.0,3082.1760000000004,0.02,5.13696,5.13696,92.46528,0.03,False,0.0,False,0.0,92.46528,Low,low,Low,Major,Low,Not Eligible,Not Eligible
